Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'Wars usually have the effect of speeding up the process of history.';Pieter Geyl;'Les guerres ont toutes sortes de prйtextes, mais n'ont jamais qu'une cause : l'armйe. Otez l'armйe, vous фtez la guerre.';Victor Hugo;'Qui si fa l'Italia o si muore!';Giuseppe Garibaldi;'La guerra suele tener el efecto de acelerar la historia.';Pieter Geyl;'Kriege haben gewцhnlich den Effekt, den Gang der Geschichte zu beschleunigen.';Pieter Geyl;'Wojny zazwyczaj wpіywaj№ na przyspieszenie procesуw historii.';Pieter Geyl;;;'Война часто играет роль катализатора в истории.';Петер Гейл
'War is not an adventure. It is a disease. It is like typhus.';Antoine de Saint-Exupery;'Le jour oщ personne ne reviendra d'une guerre, c'est qu'elle aura enfin йtй bien faite.';Boris Vian;'La guerra non и un'avventura. E' una malattia. Come il tifo.';Antoine de Saint-Exupery;'La guerra no es una aventura. Es una enfermedad. Como el tifus.';Antoine de Saint-Exupery;Krieg ist kein Abenteuer, es ist eine Seuche. Wie Typhus.';Antoine de Saint-Exupery;'Wojna nie jest przygod№. Wojna jest chorob№. Jest jak tyfus.';Antoine de Saint-Exupery;;;'Война это не приключение. Это болезнь. Как тиф.';Антуан де Сент-Экзюпери
'An enemy forgiven is more dangerous than a thousand foes.';Rodolfo Graziani;'Mкme les bacilles s'endorment а Yalta.';Anton Tchekhov;'Un nemico perdonato и piщ pericoloso di mille avversari.';Rodolfo Graziani;'Un enemigo perdonado, es mas peligroso que mil enemigos.';Rodolfo Graziani;Ein Feind, dem man vergeben hat, ist gefдhrlicher als tausend Feinde.';Rodolfo Graziani;'Przeciwnik, ktуremu udzielono wybaczenia jest groџniejszy niї tysi№ce wrogуw.';Rodolfo Graziani;;;'Прощенный враг хуже тысячи новых.';Рудольфо Грациани
'Democracy is beautiful in theory, in practice it is a fallacy. You in America will see that some day.';Benito Mussolini;'Nous avons tous couchй avec la grande Allemagne et le souvenir en est restй trиs doux.';Robert Brasillach;'La democrazia и bella in teoria, in pratica и un errore. Voi in America ve ne accorgerete un giorno.';Benito Mussolini;'A los ojos de los constructores de grandes inferiores, los hombres no son hombre sino instrumentos.';Benito Mussolini;'In der Theorie ist Demokratie gut, in der Praxis ein Trugschluss. Ihr in den Vereinigten Staaten werdet das bald selbst feststellen.';Benito Mussolini;'Demokracja jest piкkna w teorii, ale w praktyce to bujda. Wy w Ameryce pewnego dnia przejrzycie na oczy.';Benito Mussolini;;;'Демократия хороша в теории, но это заблуждение. Вы, янки, скоро это почувствуете.';Бенито Муссолини
'Never, never, never believe any war will be smooth and easy, or that anyone who embarks on the strange voyage;can measure the tides and hurricanes he will encounter.' Winston Churchill;'Un peuple sans superstition serait philosophe, et les philosophes ne veulent jamais obйir.';Giovanni Casanova;'Mai, mai, mai credere che una guerra sarа semplice e tranquilla, o che chiunque si imbarchi in questo viaggio possa valutare le maree e gli uragani che incontrerа.';Winston Churchill;'Nunca, nunca, nunca creerй en una guerra fбcil y rбpida, o que alguien que se embarca en un extraсo viaje;pueda medir las mareas y tempestades que se encontrarб.' Winston Churchill;'Glaube niemals, das irgendein Krieg glatt und leicht verlдuft oder das irgendjemand, der eine Reise antritt, ermessen kann, welche Stьrme auf ihn warten.';Sir Winston Churchill;'Nigdy, ale to przenigdy nie wierz, їe wojna bкdzie іatwa i lekka, tak jak nie wierz їe ktokolwiek kto wyrusza w nieznane moїe zmierzyж fale i huragany, ktуre przyjdzie mu napotkaж.';Sir Winston Churchill;;;'Никогда, никогда не верьте тем, кто говорит, что война будет простой и спокойной. Они все лгут, как и те, что кладут сыр в мышеловку.';Уинстон Черчилль
'The engine of the Panzer is just as much a weapon as the main-gun.';Heinz Guderian;'Les lampes sont en train de s'йteindre dans toute l'Europe. Nous ne reverrons plus leurs lumiиres de notre vivant.';Edward Grey;'Il motore di un Panzer и un'arma come il suo cannone.';Heinz Guderian;'El motor del Panzer es un arma al igual que se ametralladora.';Heinz Guderian;'Der Motor eines Panzers ist genauso Waffe wie seine Kanone.';Heinz Guderian;'Silnik niemieckiego czoіgu jest tak samo broni№, jak jego dziaіo.';Heinz Guderian;;;'Двигатель танка - такое же оружие, как и его пушка.';Гейнц Гудериан
'Bellum se ipsum alet (War feeds itself).';Marcus Porcius Cato;'Nos yeux йmerveillйs pouvaient contempler le spectacle de six engins blindйs а chenille britanniques traversant le champs de bataille, passant а travers les barbelйs,;abattant des murs en pierre et, oui, renversant mкme de petits arbres. Cela nous semblait si irrйel.' Un soldat allemand, bataille de la Somme, 1916;'Bellum se ipsum alet (La guerra si alimenta da sola)';Marcus Porcius Cato;'Bellum se ipsum alet (La guerra se alimenta a si misma).';Marcus Porcius Cato;'Bellum se ipsum alet ( Der Krieg ernдhrt den Krieg ).';Marcus Porcius Cato;'Bellum se ipsum alet (Wojna karmi siebie sam№).';Marek Porcjusz Katon;;;'Bellum se ipsum alet (Война кормит себя).';Марк Порций Катон
'War is an act of violence to compel our opponent to fulfill our will.';Carl von Clausewitz;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
'War is a mere continuation of politics by other means.';Carl von Clausewitz;'La guerre est une poursuite de l'activitй politique par d'autres moyens.';Carl von Clausewitz;'La guerra и una mera continuazione della politica con altri mezzi.';Carl von Clausewitz;La guerra es una mera continuaciуn de la polнtica por otros medios.';Carl von Clausewitz;Der Krieg ist die Fortsetzung der Politik mit anderen Mitteln.';Carl von Clausewitz;'Wojna jest jedynie kontynuacj№ polityki innymi њrodkami.';Carl von Clausewitz;;;'Война - это продолжение политики другими средствами.';Карл фон Клаузевиц
'My logisticians are a humorless lot.They know if my campaign fails, they are the first ones I will slay.';Attributed to Alexander the Great;'Mes logisticiens n'ont aucun humour. Ils savent que si ma campagne йchoue, ils seront les premiers que je massacrerai.';Alexandre le Grand;'I miei strategisti sono un gruppo senza umore. Loro sanno che se la mia campagna militare dovesse fallire, saranno i primi che ucciderei.';Alessandro Magno;'Mis estratega no tienen sentido del humor. Ellos saben que si mi campaсa militar falla, ellos serбn los primeros que matarй.';Alejandro Magno;'Meine Logistiker sind ein humorloser Haufen. Sie wissen, dass sie die ersten sein werden, die ich erschlage, wenn mein Feldzug scheitert.';Alexander der GroЯe;'Wojna jest jedynie kontynuacj№ polityki innymi њrodkami.';Carl von Clausewitz;'Meus strategas sгo uma turma sem graзa. Eles sabem que se a minha campanha militar falhar, eles serгo os primeiros que eu matarei.';Alexandre, o Grande;'Война - это продолжение политики другими средствами.';Карл фон Клаузевиц
'Dulce et decorum est pro patria mori (It is sweet and fitting to die for one's country.).';Horace (Quintas Horatius Flaccus; 65-8 B.C.);'La guerre est une poursuite de l'activitй politique par d'autres moyens.';Carl von Clausewitz;'La guerra и una mera continuazione della politica con altri mezzi.';Carl von Clausewitz;La guerra es una mera continuaciуn de la polнtica por otros medios.';Carl von Clausewitz;Der Krieg ist die Fortsetzung der Politik mit anderen Mitteln.';Carl von Clausewitz;'Wojna jest jedynie kontynuacj№ polityki innymi њrodkami.';Carl von Clausewitz;;;'Война - это продолжение политики другими средствами.';Карл фон Клаузевиц
'The best weapon against an enemy is another enemy.';Friedrich Nietzche;'La guerre est une poursuite de l'activitй politique par d'autres moyens.';Carl von Clausewitz;'La guerra и una mera continuazione della politica con altri mezzi.';Carl von Clausewitz;La guerra es una mera continuaciуn de la polнtica por otros medios.';Carl von Clausewitz;Der Krieg ist die Fortsetzung der Politik mit anderen Mitteln.';Carl von Clausewitz;'Wojna jest jedynie kontynuacj№ polityki innymi њrodkami.';Carl von Clausewitz;;;'Война - это продолжение политики другими средствами.';Карл фон Клаузевиц
'Socialism is a philosophy of failure, the creed of ignorance, and the gospel of envy, its inherent virtue is the equal sharing of misery'.;Winston Churchill;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
'All socialism involves slavery.';Herbert Spencer;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
'The goal of socialism is communism.';Vladimir Lenin;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
'Capitalism is war; socialism is peace.';Karl Liebknecht;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
'The aim of my life is the overthrow of monarchy.';Karl Liebknecht;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
'The monarchy unites us; the republic would divide us.';Francesco Crispi;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
'Aristocracy is always cruel.';Wendell Phillips;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
'There is a natural aristocracy among men. The grounds of this are virtue and talents.';Thomas Jefferson;'La victoire appartiendra dans cette guerre а celui des deux belligйrants qui parviendra le premier а placer un canon de 75 sur un vйhicule capable de se mouvoir en tout terrain.';Colonel Jean-Baptiste Eugиne Estienne, 23 aoыt 1914 ;'La guerra и un atto di violenza per costringere i nostri avversari a piegarsi alla nostra volontа.';Carl von Clausewitz;La guerra es un acto violento para obligar a nuestro enemigo a cumplir nuestra voluntad.';Carl von Clausewitz;'Krieg ist ein Akt der Gewalt, um den Gegner zur Erfьllung unseres Willens zu zwingen.';Carl von Clausewitz;'Wojna jest aktem przemocy nakierowanym na zmuszenie przeciwnika do poddania siк naszej woli.';Carl von Clausewitz;;;'Война - это насильный способ принятия нашей точки зрения.';Карл фон Клаузевиц
